away_score,clear_chances,corners,data_source,date,fotmob_match_id,fouls,ground_duels_won,ground_duels_won_pct,home_score,last_updated,match_id,opposition_half_passes,possession_pct,red_cards,shots_on_target,status,successful_dribbles,successful_dribbles_pct,team,team_id,total_shots,touches_in_opposition_box,utc_time,xg
4,1.0,2.0,fotmob-parse-bot,2026-06-16,4667805,12.0,42.0,58.0,1,2026-06-28,18,107.0,39.0,0.0,1.0,Completed,10.0,48.0,Iraq,35,11.0,18.0,2026-06-16T22:00:00.000Z,0.8
4,5.0,5.0,fotmob-parse-bot,2026-06-16,4667805,13.0,31.0,42.0,1,2026-06-28,18,183.0,61.0,0.0,5.0,Completed,5.0,29.0,Norway,36,12.0,25.0,2026-06-16T22:00:00.000Z,2.52
0,1.0,2.0,fotmob-parse-bot,2026-06-17,4667812,13.0,36.0,49.0,3,2026-06-28,19,175.0,48.0,0.0,6.0,Completed,2.0,22.0,Argentina,37,10.0,12.0,2026-06-17T01:00:00.000Z,1.26
0,0.0,2.0,fotmob-parse-bot,2026-06-17,4667812,8.0,38.0,51.0,3,2026-06-28,19,284.0,52.0,0.0,0.0,Completed,8.0,35.0,Algeria,38,7.0,14.0,2026-06-17T01:00:00.000Z,0.32
1,4.0,4.0,fotmob-parse-bot,2026-06-17,4667813,12.0,27.0,41.0,3,2026-06-28,20,248.0,63.0,0.0,4.0,Completed,4.0,33.0,Austria,39,11.0,28.0,2026-06-17T04:00:00.000Z,1.69
1,0.0,3.0,fotmob-parse-bot,2026-06-17,4667813,7.0,39.0,59.0,3,2026-06-28,20,100.0,37.0,0.0,4.0,Completed,15.0,63.0,Jordan,40,11.0,21.0,2026-06-17T04:00:00.000Z,0.46
1,0.0,5.0,fotmob-parse-bot,2026-06-17,4667819,9.0,25.0,42.0,1,2026-06-28,21,379.0,75.0,0.0,1.0,Completed,5.0,42.0,Portugal,41,7.0,29.0,2026-06-17T17:00:00.000Z,0.65
1,1.0,4.0,fotmob-parse-bot,2026-06-17,4667819,10.0,34.0,58.0,1,2026-06-28,21,98.0,25.0,0.0,2.0,Completed,8.0,53.0,DR Congo,42,8.0,10.0,2026-06-17T17:00:00.000Z,0.87
2,7.0,8.0,fotmob-parse-bot,2026-06-17,4667825,10.0,28.0,52.0,4,2026-06-28,22,119.0,52.0,0.0,11.0,Completed,7.0,50.0,England,45,22.0,37.0,2026-06-17T20:00:00.000Z,3.2
2,2.0,2.0,fotmob-parse-bot,2026-06-17,4667825,12.0,26.0,48.0,4,2026-06-28,22,161.0,48.0,0.0,5.0,Completed,5.0,50.0,Croatia,46,10.0,16.0,2026-06-17T20:00:00.000Z,0.7
