away_score,clear_chances,corners,data_source,date,fotmob_match_id,fouls,ground_duels_won,ground_duels_won_pct,home_score,last_updated,match_id,opposition_half_passes,possession_pct,red_cards,shots_on_target,status,successful_dribbles,successful_dribbles_pct,team,team_id,total_shots,touches_in_opposition_box,utc_time,xg
0,2.0,3.0,fotmob-parse-bot,2026-06-11,4667751,12.0,32.0,55.0,2,2026-07-04,1,188.0,60.0,1.0,4.0,Completed,9.0,60.0,Mexico,1,16.0,20.0,2026-06-11T19:00:00.000Z,1.46
0,0.0,1.0,fotmob-parse-bot,2026-06-11,4667751,11.0,26.0,45.0,2,2026-07-04,1,74.0,40.0,2.0,2.0,Completed,1.0,17.0,South Africa,2,3.0,2.0,2026-06-11T19:00:00.000Z,0.07
1,4.0,4.0,fotmob-parse-bot,2026-06-12,4667752,9.0,29.0,57.0,2,2026-07-04,2,256.0,62.0,0.0,6.0,Completed,8.0,57.0,South Korea,3,15.0,24.0,2026-06-12T02:00:00.000Z,2.3
1,1.0,5.0,fotmob-parse-bot,2026-06-12,4667752,16.0,22.0,43.0,2,2026-07-04,2,131.0,38.0,0.0,4.0,Completed,4.0,57.0,Czech Republic,4,7.0,12.0,2026-06-12T02:00:00.000Z,0.83
1,2.0,9.0,fotmob-parse-bot,2026-06-12,4667757,10.0,50.0,58.0,1,2026-07-04,3,183.0,61.0,0.0,4.0,Completed,7.0,50.0,Canada,5,13.0,37.0,2026-06-12T19:00:00.000Z,1.23
1,2.0,4.0,fotmob-parse-bot,2026-06-12,4667757,20.0,36.0,42.0,1,2026-07-04,3,80.0,39.0,0.0,3.0,Completed,6.0,26.0,Bosnia and Herzegovina,6,8.0,15.0,2026-06-12T19:00:00.000Z,0.96
1,4.0,3.0,fotmob-parse-bot,2026-06-13,4667771,13.0,47.0,55.0,4,2026-07-04,4,277.0,65.0,0.0,6.0,Completed,22.0,63.0,United States,13,16.0,53.0,2026-06-13T01:00:00.000Z,1.42
1,1.0,1.0,fotmob-parse-bot,2026-06-13,4667771,17.0,39.0,45.0,4,2026-07-04,4,68.0,35.0,0.0,1.0,Completed,6.0,60.0,Paraguay,14,9.0,11.0,2026-06-13T01:00:00.000Z,0.54
1,1.0,3.0,fotmob-parse-bot,2026-06-13,4667758,12.0,26.0,49.0,1,2026-07-04,5,68.0,32.0,0.0,3.0,Completed,2.0,50.0,Qatar,7,6.0,8.0,2026-06-13T19:00:00.000Z,0.6
1,6.0,10.0,fotmob-parse-bot,2026-06-13,4667758,11.0,27.0,51.0,1,2026-07-04,5,368.0,68.0,0.0,7.0,Completed,7.0,54.0,Switzerland,8,26.0,42.0,2026-06-13T19:00:00.000Z,3.2
1,1.0,6.0,fotmob-parse-bot,2026-06-13,4667764,16.0,41.0,41.0,1,2026-07-04,6,200.0,51.0,0.0,5.0,Completed,5.0,19.0,Brazil,9,12.0,22.0,2026-06-13T22:00:00.000Z,1.26
1,2.0,2.0,fotmob-parse-bot,2026-06-13,4667764,14.0,58.0,59.0,1,2026-07-04,6,221.0,49.0,0.0,3.0,Completed,16.0,55.0,Morocco,10,14.0,13.0,2026-06-13T22:00:00.000Z,1.37
1,1.0,4.0,fotmob-parse-bot,2026-06-14,4667765,23.0,38.0,50.0,0,2026-07-04,7,204.0,54.0,0.0,2.0,Completed,6.0,43.0,Haiti,11,15.0,22.0,2026-06-14T01:00:00.000Z,1.05
1,2.0,3.0,fotmob-parse-bot,2026-06-14,4667765,21.0,38.0,50.0,0,2026-07-04,7,111.0,46.0,0.0,2.0,Completed,5.0,38.0,Scotland,12,9.0,21.0,2026-06-14T01:00:00.000Z,1.05
0,1.0,5.0,fotmob-parse-bot,2026-06-14,4667772,12.0,27.0,48.0,2,2026-07-04,8,69.0,28.0,0.0,4.0,Completed,8.0,73.0,Australia,15,9.0,18.0,2026-06-14T04:00:00.000Z,1.18
0,2.0,8.0,fotmob-parse-bot,2026-06-14,4667772,4.0,29.0,52.0,2,2026-07-04,8,456.0,72.0,0.0,8.0,Completed,5.0,36.0,Turkey,16,30.0,51.0,2026-06-14T04:00:00.000Z,1.36
1,6.0,8.0,fotmob-parse-bot,2026-06-14,4667777,18.0,38.0,46.0,7,2026-07-04,9,361.0,65.0,0.0,12.0,Completed,9.0,50.0,Germany,17,26.0,63.0,2026-06-14T17:00:00.000Z,4.22
1,0.0,1.0,fotmob-parse-bot,2026-06-14,4667777,11.0,45.0,54.0,7,2026-07-04,9,112.0,35.0,0.0,2.0,Completed,12.0,57.0,Curacao,18,8.0,10.0,2026-06-14T17:00:00.000Z,0.41
2,0.0,5.0,fotmob-parse-bot,2026-06-14,4667783,7.0,25.0,54.0,2,2026-07-04,10,309.0,60.0,0.0,6.0,Completed,8.0,53.0,Netherlands,21,10.0,33.0,2026-06-14T20:00:00.000Z,0.78
2,0.0,4.0,fotmob-parse-bot,2026-06-14,4667783,7.0,21.0,46.0,2,2026-07-04,10,168.0,40.0,0.0,3.0,Completed,3.0,33.0,Japan,22,10.0,19.0,2026-06-14T20:00:00.000Z,0.59
0,2.0,3.0,fotmob-parse-bot,2026-06-14,4667778,10.0,41.0,55.0,1,2026-07-04,11,191.0,48.0,0.0,4.0,Completed,14.0,67.0,Ivory Coast,19,15.0,39.0,2026-06-14T23:00:00.000Z,1.52
0,1.0,5.0,fotmob-parse-bot,2026-06-14,4667778,13.0,33.0,45.0,1,2026-07-04,11,159.0,52.0,0.0,1.0,Completed,3.0,30.0,Ecuador,20,12.0,16.0,2026-06-14T23:00:00.000Z,1.01
1,4.0,4.0,fotmob-parse-bot,2026-06-15,4667784,10.0,26.0,42.0,5,2026-07-04,12,134.0,49.0,0.0,7.0,Completed,5.0,42.0,Sweden,23,13.0,22.0,2026-06-15T02:00:00.000Z,1.33
1,0.0,2.0,fotmob-parse-bot,2026-06-15,4667784,8.0,36.0,58.0,5,2026-07-04,12,145.0,51.0,0.0,2.0,Completed,7.0,44.0,Tunisia,24,6.0,10.0,2026-06-15T02:00:00.000Z,0.28
0,2.0,11.0,fotmob-parse-bot,2026-06-15,4667798,10.0,21.0,40.0,0,2026-07-04,13,606.0,74.0,0.0,7.0,Completed,7.0,54.0,Spain,29,27.0,51.0,2026-06-15T16:00:00.000Z,2.1
0,1.0,1.0,fotmob-parse-bot,2026-06-15,4667798,1.0,31.0,60.0,0,2026-07-04,13,29.0,26.0,0.0,1.0,Completed,4.0,36.0,Cape Verde,30,6.0,6.0,2026-06-15T16:00:00.000Z,0.2
1,2.0,2.0,fotmob-parse-bot,2026-06-15,4667790,15.0,44.0,47.0,1,2026-07-04,14,270.0,54.0,0.0,3.0,Completed,12.0,48.0,Belgium,25,15.0,31.0,2026-06-15T19:00:00.000Z,1.35
1,2.0,7.0,fotmob-parse-bot,2026-06-15,4667790,15.0,50.0,53.0,1,2026-07-04,14,122.0,46.0,0.0,3.0,Completed,8.0,53.0,Egypt,26,14.0,27.0,2026-06-15T19:00:00.000Z,1.08
